id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
4424,\dotdiv,\dotdiv,8760,,single symbol
4425,\reflectbox{$\alpha$},\reflectbox{$\alpha$},0,,single symbol
4426,á,á,225,,
4427,\not{B},\not{B},0,,NULL
4438,\dlsh,\dlsh,8629,,single symbol
4439,\Nearrow,\Nearrow,8663,,single symbol
4441,\Delta x,\Delta x,0,,NULL
4442,\ddot{x},\ddot{x},7821,,single symbol
4519,\not\hookrightarrow,\not\hookrightarrow,0,,formula
4583,\hexagon,\hexagon,11041,,single symbol
4664,\overline{\land},\overline{\land},0,,NULL
4732,卍,卍,21325,,single symbol
4808,\married,\married,9901,,single symbol
4809,⸮,⸮,11822,,single symbol
4810,::=,::=,0,,NULL
4811,卐,卐,21328,,single symbol
4812,\uptriint,\uptriint,0,,single symbol
4813,\overbrace{},\overbrace{},0,,nesting symbol
4816,\rcirclearrowdown,\rcirclearrowdown,0,,single symbol
4817,\varoiintctrclockwise,\varoiintctrclockwise,0,,single symbol
4818,\eqsim,\eqsim,0,,single symbol
4819,\precneq,\precneq,0,,single symbol
4820,\curvearrowbotright,\curvearrowbotright,0,,single symbol
4821,\squigarrowleftright,\squigarrowleftright,0,,single symbol
4822,\lcurvearrowdown,\lcurvearrowdown,0,,single symbol
4823,\triplesim,\triplesim,0,,single symbol
4824,\underbrace{},\underbrace{},0,,nesting symbol
4825,⚛,⚛,9883,,single symbol
4828,\det,\det,0,,single symbol
4829,\not\supset,\not\supset,0,,NULL
4830,\not\geqslant,\not\geqslant,0,,NULL
4831,\triangleeq,\triangleeq,0,,single symbol
4832,\not\geq,\not\geq,0,,NULL
4833,\not\EUR,\not\EUR,0,,NULL
4834,\mathbb{X},\mathbb{X},0,,single symbol
4835,\updownharpoons,\updownharpoons,0,,single symbol
4837,\CheckedBox,\CheckedBox,9745,,single symbol
4838,\rcirclearrowleft,\rcirclearrowleft,10226,,single symbol
4839,\lcurvearrowsw,\lcurvearrowsw,0,,single symbol
4840,\lcurvearrowright,\lcurvearrowright,0,,single symbol
4841,\leqslantdot,\leqslantdot,0,,single symbol
4842,\looparrowdownleft,\looparrowdownleft,0,,single symbol
4843,\bigboxbackslash,\bigboxbackslash,0,,single symbol
