id,tag_id,symbol_id
245,8,1173
247,8,1181
608,8,1183
197,8,1196
196,8,1197
237,8,1198
493,8,1715
206,9,254
202,9,264
561,9,435
210,9,436
554,9,437
565,9,438
545,9,439
212,9,440
556,9,441
203,9,442
535,9,443
562,9,444
559,9,445
217,9,447
564,9,448
548,9,450
205,9,451
566,9,452
201,9,453
214,9,454
215,9,455
567,9,456
213,9,458
207,9,460
539,9,461
538,9,462
537,9,463
208,9,504
204,9,506
225,10,1106
219,10,1107
221,10,1108
233,10,1109
229,10,1110
235,10,1111
223,10,1112
231,10,1113
227,10,1114
415,10,1115
489,10,1116
490,10,1117
486,10,1118
488,10,1119
226,10,1135
220,10,1136
222,10,1137
234,10,1138
230,10,1139
236,10,1140
224,10,1141
232,10,1142
228,10,1143
3553,10,1144
492,10,1145
242,11,1656
248,11,1657
249,11,1658
238,11,1659
241,11,1718
250,11,1736
497,11,4412
720,12,462
721,12,463
3205,12,503
3019,12,564
3714,12,565
3837,12,566
3491,12,567
2827,12,568
3218,12,569
3490,12,570
2929,12,1104
3203,12,1105
929,12,1106
930,12,1107
931,12,1108
932,12,1109
933,12,1110
934,12,1111
935,12,1112
936,12,1113
937,12,1114
938,12,1115
939,12,1116
940,12,1117
941,12,1118
942,12,1119
373,12,1120
945,12,1121
3020,12,1122
946,12,1123
947,12,1124
948,12,1125
3554,12,1126
3556,12,1127
3558,12,1128
949,12,1129
950,12,1130
3560,12,1131
2887,12,1132
2941,12,1133
3541,12,1134
2967,12,1168
3038,12,1169
2826,12,1171
2806,12,1172
973,12,1173
2866,12,1174
3799,12,1175
246,12,1176
2918,12,1177
502,12,1178
2852,12,1179
2889,12,1180
976,12,1181
977,12,1182
609,12,1183
2944,12,1184
3261,12,1185
980,12,1186
2797,12,1187
981,12,1188
3543,12,1189
3564,12,1190
2994,12,1191
2940,12,1696
994,12,1721
3771,12,4583
498,13,31
499,13,32
263,13,33
264,13,34
265,13,35
266,13,36
267,13,37
268,13,38
269,13,39
270,13,40
271,13,41
272,13,42
273,13,43
274,13,46
275,13,47
276,13,48
277,13,49
278,13,50
279,13,51
280,13,52
281,13,53
282,13,54
283,13,55
284,13,56
285,13,90
286,13,91
287,13,92
288,13,93
289,13,94
315,13,95
291,13,96
293,13,97
294,13,98
295,13,99
296,13,100
297,13,101
298,13,102
299,13,103
300,13,104
301,13,105
302,13,106
311,13,107
310,13,108
309,13,109
308,13,110
307,13,111
306,13,112
305,13,113
304,13,114
303,13,115
3741,13,333
3742,13,336
322,14,189
327,14,190
323,14,191
328,14,192
3577,14,511
320,14,528
321,14,558
3941,14,679
324,14,680
331,14,681
3906,14,682
325,14,683
332,14,684
319,14,685
326,14,686
333,14,687
334,14,690
329,14,692
335,14,693
330,14,695
339,14,884
3699,14,888
3865,14,889
3576,14,950
340,14,1322
3859,14,1459
337,14,1624
3652,14,1690
3073,15,1046
365,15,1047
366,15,1048
342,15,1049
343,15,1050
344,15,1051
345,15,1052
346,15,1053
347,15,1054
348,15,1055
349,15,1056
350,15,1057
351,15,1058
352,15,1059
353,15,1060
354,15,1061
3087,15,1062
355,15,1063
356,15,1064
341,15,1065
421,15,1066
357,15,1067
358,15,1068
359,15,1069
360,15,1070
361,15,1071
362,15,1072
363,15,1073
364,15,1074
372,16,1120
369,16,1121
463,16,1123
491,16,1124
378,16,1125
3555,16,1126
3557,16,1127
3559,16,1128
380,16,1129
600,16,1130
3561,16,1131
375,16,1146
368,16,1147
377,16,1151
485,16,1152
379,16,1155
604,16,1156
3563,16,1157
712,17,452
713,17,453
714,17,454
715,17,455
716,17,456
2814,17,457
717,17,458
2811,17,459
718,17,460
